Timestamp,Chef Name,Rarity,Price
2025-05-11T02:56:28.327817,Chef John,Common,2
2025-05-11T03:19:36.750030,Picky Chef,Common,3
2025-05-11T03:20:23.629192,Mediocre Chef,Common,3
2025-05-11T03:31:39.117327,Old Chef,Common,3
2025-05-11T03:32:09.821793,Grainy Chef,Common,5
2025-05-11T03:40:27.557648,Buffed Chef,Common,5
2025-05-11T03:40:28.173089,Mediocre Chef,Common,3
2025-05-11T03:40:28.405683,Chef John,Common,2
2025-05-11T03:40:30.301154,Small Chef,Common,3
2025-05-11T03:40:30.533150,Old Chef,Common,3
2025-05-11T03:40:30.781001,Grainy Chef,Common,5
2025-05-11T03:40:31.909529,Buffed Chef,Common,5
2025-05-11T03:40:32.541095,Keen Chef,Common,5
2025-05-11T03:40:32.773699,Grainy Chef,Common,5
2025-05-11T03:40:33.765824,Big Chef,Common,3
2025-05-11T03:40:34.005808,Old Chef,Common,3
2025-05-11T03:40:34.254354,Keen Chef,Common,5
2025-05-11T03:40:53.029745,Keen Chef,Common,5
2025-05-11T03:40:53.350344,Grainy Chef,Common,5
2025-05-11T03:40:53.573927,Buffed Chef,Common,5
2025-05-11T03:40:55.687219,Big Chef,Common,3
2025-05-11T03:40:56.037840,Chef John,Common,2
2025-05-11T03:40:56.318158,Old Chef,Common,3
2025-05-11T03:40:57.356902,Old Chef,Common,3
2025-05-11T03:40:57.613240,Picky Chef,Common,3
2025-05-11T03:40:57.910157,Chef John,Common,2
2025-05-11T03:40:58.876973,Picky Chef,Common,3
2025-05-11T03:40:59.405396,Buddy Chef,Common,3
2025-05-11T03:40:59.630245,Mediocre Chef,Common,3
2025-05-11T03:41:00.734629,Mediocre Chef,Common,3
2025-05-11T03:41:01.292403,Big Chef,Common,3
2025-05-11T03:41:01.542837,Small Chef,Common,3
2025-05-11T03:41:03.068886,Buddy Chef,Common,3
2025-05-11T03:41:03.269188,Keen Chef,Common,5
2025-05-11T03:41:03.501299,Small Chef,Common,3
2025-05-11T03:41:04.342528,Buffed Chef,Common,5
2025-05-11T03:41:04.557755,Chef John,Common,2
2025-05-11T03:41:04.757138,Buddy Chef,Common,3
2025-05-11T03:41:05.566080,Mediocre Chef,Common,3
2025-05-11T03:41:05.788714,Buffed Chef,Common,5
2025-05-11T03:41:06.021585,Picky Chef,Common,3
2025-05-11T03:41:22.077016,Keen Chef,Common,5
2025-05-11T03:41:22.261132,Picky Chef,Common,3
2025-05-11T03:41:22.461184,Tall Chef,Common,5
2025-05-11T03:41:23.773216,Buffed Chef,Common,5
2025-05-11T03:41:24.228329,Small Chef,Common,3
2025-05-11T03:41:24.468246,Small Chef,Common,3
2025-05-11T03:41:32.333565,Buffed Chef,Common,5
2025-05-11T03:41:32.525931,Small Chef,Common,3
2025-05-11T03:41:32.725220,Keen Chef,Common,5
2025-05-11T03:45:38.737507,Picky Chef,Common,3
2025-05-11T03:45:39.729641,Big Chef,Common,3
2025-05-11T03:45:40.026128,Buffed Chef,Common,5
2025-05-11T03:45:41.034268,Tall Chef,Common,5
2025-05-11T03:45:41.969701,Big Chef,Common,3
2025-05-11T03:56:33.322451,Buffed Chef,Common,5
2025-05-11T03:57:13.521040,Tall Chef,Common,5
2025-05-11T04:22:20.526261,Buddy Chef,Common,3
